route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
Q84,JA_F0-Weekday-147500_Q84_5,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q840027,0.0,0
Q4,JA_F0-Weekday-147800_MISC_571,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q84,JA_F0-Weekday-148000_MISC_569,JA_F0-Weekday,LAURELTON 238 ST via 120 AV,0,Q840026,0.0,0
Q3,JA_F0-Weekday-148000_MISC_575,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
Q3,JA_F0-Weekday-148000_Q3_10,JA_F0-Weekday,JFK AIRPORT via FARMERS BL,1,Q030043,0.0,0
Q85,JA_F0-Weekday-148800_MISC_576,JA_F0-Weekday,ROSEDALE 147 AV,0,Q850286,0.0,0
Q5,JA_F0-Weekday-149500_MISC_563,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via MERRICK,1,Q050053,0.0,0
Q17,JA_F0-Weekday-149500_Q17_27,JA_F0-Weekday,FLUSHING MAIN ST STATION,0,Q170071,0.0,0
Q4,JA_F0-Weekday-149800_MISC_574,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q84,JA_F0-Weekday-150500_MISC_572,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q840027,0.0,0
Q84,JA_F0-Weekday-150500_Q84_5,JA_F0-Weekday,LAURELTON 238 ST via 120 AV,0,Q840026,0.0,0
Q85,JA_F0-Weekday-150800_MISC_568,JA_F0-Weekday,ROSEDALE 147 AV,0,Q850287,0.0,0
Q85,JA_F0-Weekday-150900_MISC_570,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850283,0.0,0
Q3,JA_F0-Weekday-151000_MISC_573,JA_F0-Weekday,JFK AIRPORT via FARMERS BL,1,Q030043,0.0,0
Q4,JA_F0-Weekday-151100_MISC_571,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q17,JA_F0-Weekday-151200_Q17_26,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q5,JA_F0-Weekday-151700_Q5_16,JA_F0-Weekday,ROSEDALE LIRR via MERRICK,0,Q050035,0.0,0
Q85,JA_F0-Weekday-152900_MISC_576,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850283,0.0,0
Q84,JA_F0-Weekday-153000_MISC_572,JA_F0-Weekday,LAURELTON 238 ST via 120 AV,0,Q840026,0.0,0
Q4,JA_F0-Weekday-153100_MISC_574,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q17,JA_F0-Weekday-153200_Q17_27,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q4,JA_F0-Weekday-153800_MISC_571,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q3,JA_F0-Weekday-154000_MISC_575,JA_F0-Weekday,JFK AIRPORT via FARMERS BL,1,Q030043,0.0,0
Q3,JA_F0-Weekday-154000_Q3_10,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
Q5,JA_F0-Weekday-155400_Q5_16,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via MERRICK,1,Q050053,0.0,0
Q4,JA_F0-Weekday-155800_MISC_574,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q85,JA_F0-Weekday-156800_MISC_576,JA_F0-Weekday,ROSEDALE 147 AV,0,Q850286,0.0,0
Q3,JA_F0-Weekday-157000_MISC_573,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
