ID,Make,Model,Year,Depot
7404,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
7405,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
7406,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
7407,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
7408,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
7409,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
7410,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
7411,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
7412,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
7413,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
7414,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
7415,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
7416,New Flyer Industries,XD40 Xcelsior,2015,Casey Stengel Bus Depot (New York City Transit)
